品名,収集料金,直接搬入料金
アイロン,100,50
アイロン台,300,150
編み機,520,260
網戸,300,150
アルミサッシ,300,150
アンテナ,300,150
衣装ケース,300,150
椅子,300,150
一輪車,520,260
井戸用ポンプ,1040,520
犬小屋,1040,520
乳母車,520,260
エレクトーン,1040,520
煙突（金属製のもの）,300,150
オーブントースター,100,50
オーブンレンジ,300,150
おもちゃ,100,50
オルガン,1040,520
カーテン,300,150
カーテンレール,100,50
カーペット,520,260
額縁（1m以上）,300,150
額縁（1m未満）,100,50
加湿器,300,150
ガスコンロ,520,260
カメラ（ビデオを含む）,100,50
カラーボックス,300,150
カラオケ機,520,260
換気扇,300,150
キーボード,1040,520
ギター,300,150
鏡台（ドレッサー）,1040,520
空気入れ,100,50
空気清浄器,520,260
クッション,100,50
健康器具,1040,520
ござ（１畳以上）,300,150
ござ（１畳未満）,100,50
こたつ,520,260
こたつ板,300,150
コピー機（業務用を除く）,520,260
米びつ,520,260
ゴルフクラブ,100,50
ゴルフバッグ,520,260
座椅子,300,150
サイドボード,1040,520
材木（2m以上）,300,150
材木（2m未満）,100,50
座卓,1040,520
座布団,100,50
三脚,300,150
三輪車,300,150
自転車（子供用）,300,150
自転車（子供用以外）,520,260
芝刈り機,520,260
ジューサー,100,50
じゅうたん,520,260
収納棚,520,260
障子,300,150
食器棚,1040,520
水槽,1040,520
炊飯器,300,150
スキー板,300,150
スケートボード,300,150
ステレオ,1040,520
ストーブ,520,260
ストック,100,50
スノーボード,300,150
スピーカー,300,150
ズボンプレッサー,520,260
扇風機,300,150
掃除機,300,150
ソファー,1040,520
畳（半畳以下）,300,150
畳（半畳を超えるもの）,520,260
チャイルドシート,300,150
机,1040,520
釣竿,100,50
テーブル,1040,520
電気毛布,300,150
電話機,100,50
トースター,100,50
トタン,100,50
扉,1040,520
ドライヤー,100,50
鳥かご,100,50
人形ケース,300,150
パイプ（2m以上）,300,150
パイプ（2m未満）,100,50
バケツ,100,50
はしご,520,260
バット,100,50
ハンガーラック,520,260
ビデオデッキ,300,150
ファックス（業務用を除く）,300,150
ふすま,300,150
ふとん,300,150
ブラインド,300,150
ブランコ,520,260
プリンター,300,150
風呂釜,520,260
風呂のふた,300,150
ベッド,1040,520
ベビーカー,520,260
ベビーマット,520,260
ヘルスメーター,100,50
ほうき,100,50
ホースリール,300,150
ポット（魔法瓶）,100,50
ホットカーペット,520,260
ホットカーペット（カバー）,100,50
ホットプレート,300,150
本棚,1040,520
枕,100,50
マッサージ器（腰掛式）,1040,520
マッサージ器（腰掛式以外）,520,260
マットレス（スプリングはずす）,300,150
ミシン（足踏み式）,520,260
ミシン（卓上タイプ）,300,150
毛布,100,50
餅つき,520,260
モップ,100,50
物干し竿,300,150
物干し台（コンクリートはずす）,520,260
湯沸し器,300,150
ラケット,100,50
ラジカセ,300,150
ロッカー,1040,520

